Date,Hour,MWh,kWh
1/27/23,10.0,35.77,35770.0
1/27/23,11.0,35.61,35610.0
1/27/23,12.0,35.67,35670.0
1/27/23,13.0,35.84,35840.0
1/27/23,14.0,35.7,35700.0
1/27/23,15.0,35.63,35630.0
1/27/23,16.0,35.44,35440.0
1/27/23,17.0,35.51,35510.0
1/27/23,18.0,35.42,35420.0
1/27/23,19.0,35.47,35470.0
1/27/23,20.0,35.21,35210.0
1/27/23,21.0,35.26,35260.0
1/27/23,22.0,35.38,35380.0
1/27/23,23.0,35.68,35680.0
1/27/23,24.0,35.68,35680.0
1/28/23,1.0,35.79,35790.0
1/28/23,2.0,35.8,35800.0
1/28/23,3.0,35.97,35970.0
1/28/23,4.0,35.85,35850.0
1/28/23,5.0,36.05,36050.0
1/28/23,6.0,35.79,35790.0
1/28/23,7.0,35.73,35730.0
1/28/23,8.0,35.83,35830.0
1/28/23,9.0,35.91,35910.0
1/28/23,10.0,36.06,36060.0
1/28/23,11.0,35.68,35680.0
1/28/23,12.0,36.33,36330.0
1/28/23,13.0,36.5,36500.0
1/28/23,14.0,36.58,36580.0
1/28/23,15.0,36.57,36570.0
1/28/23,16.0,36.63,36630.0
1/28/23,17.0,36.53,36530.0
1/28/23,18.0,36.46,36460.0
1/28/23,19.0,35.87,35870.0
1/28/23,20.0,35.42,35420.0
1/28/23,21.0,35.26,35260.0
1/28/23,22.0,35.51,35510.0
1/28/23,23.0,35.89,35890.0
1/28/23,24.0,35.88,35880.0
1/29/23,1.0,35.78,35780.0
1/29/23,2.0,35.73,35730.0
1/29/23,3.0,35.81,35810.0
1/29/23,4.0,35.73,35730.0
1/29/23,5.0,35.78,35780.0
1/29/23,6.0,35.81,35810.0
1/29/23,7.0,35.69,35690.0
1/29/23,8.0,35.69,35690.0
1/29/23,9.0,35.43,35430.0
1/29/23,10.0,35.87,35870.0
1/29/23,11.0,35.83,35830.0
1/29/23,12.0,36.05,36050.0
1/29/23,13.0,36.05,36050.0
1/29/23,14.0,35.89,35890.0
1/29/23,15.0,35.73,35730.0
1/29/23,16.0,35.97,35970.0
1/29/23,17.0,36.05,36050.0
1/29/23,18.0,36.0,36000.0
1/29/23,19.0,35.97,35970.0
1/29/23,20.0,35.81,35810.0
1/29/23,21.0,35.81,35810.0
1/29/23,22.0,35.81,35810.0
1/29/23,23.0,35.81,35810.0
1/29/23,24.0,35.9,35900.0
1/30/23,1.0,36.03,36030.0
1/30/23,2.0,36.05,36050.0
1/30/23,3.0,35.9,35900.0
1/30/23,4.0,35.38,35380.0
1/30/23,5.0,35.4,35400.0
1/30/23,6.0,35.94,35940.0
1/30/23,7.0,36.19,36190.0
1/30/23,8.0,36.54,36540.0
1/30/23,9.0,36.54,36540.0
1/30/23,10.0,36.6,36600.0
1/30/23,11.0,37.09,37090.0
1/30/23,12.0,37.22,37220.0
1/30/23,13.0,37.12,37120.0
1/30/23,14.0,37.25,37250.0
1/30/23,15.0,37.26,37260.0
1/30/23,16.0,36.92,36920.0
1/30/23,17.0,36.96,36960.0
1/30/23,18.0,36.26,36260.0
1/30/23,19.0,36.13,36130.0
1/30/23,20.0,36.06,36060.0
1/30/23,21.0,35.94,35940.0
1/30/23,22.0,35.96,35960.0
1/30/23,23.0,35.92,35920.0
1/30/23,24.0,35.77,35770.0
1/31/23,1.0,35.8,35800.0
1/31/23,2.0,35.8,35800.0
1/31/23,3.0,35.91,35910.0
1/31/23,4.0,36.04,36040.0
1/31/23,5.0,36.11,36110.0
1/31/23,6.0,36.29,36290.0
1/31/23,7.0,36.95,36950.0
1/31/23,8.0,37.09,37090.0
1/31/23,9.0,37.0,37000.0
1/31/23,10.0,37.07,37070.0
1/31/23,11.0,37.41,37410.0
1/31/23,12.0,37.7,37700.0
