Date,Hour,kWh,MWh
1/26/23,9.0,"15,698.00",15.7
1/26/23,10.0,"15,701.00",15.7
1/26/23,11.0,"15,695.00",15.7
1/26/23,12.0,"15,727.00",15.73
1/26/23,13.0,"15,711.00",15.71
1/26/23,14.0,"15,753.00",15.75
1/26/23,15.0,"15,750.00",15.75
1/26/23,16.0,"15,772.00",15.77
1/26/23,17.0,"15,759.00",15.76
1/26/23,18.0,"15,737.00",15.74
1/26/23,19.0,"15,733.00",15.73
1/26/23,20.0,"15,711.00",15.71
1/26/23,21.0,"15,704.00",15.7
1/26/23,22.0,"15,698.00",15.7
1/26/23,23.0,"15,698.00",15.7
1/26/23,24.0,"15,720.00",15.72
1/27/23,1.0,"15,720.00",15.72
1/27/23,2.0,"15,711.00",15.71
1/27/23,3.0,"15,704.00",15.7
1/27/23,4.0,"15,714.00",15.71
1/27/23,5.0,"15,701.00",15.7
1/27/23,6.0,"15,708.00",15.71
1/27/23,7.0,"15,691.00",15.69
1/27/23,8.0,"15,701.00",15.7
1/27/23,9.0,"15,698.00",15.7
1/27/23,10.0,"15,708.00",15.71
1/27/23,11.0,"15,746.00",15.75
1/27/23,12.0,"15,746.00",15.75
1/27/23,13.0,"15,792.00",15.79
1/27/23,14.0,"15,847.00",15.85
1/27/23,15.0,"15,860.00",15.86
1/27/23,16.0,"15,860.00",15.86
1/27/23,17.0,"15,866.00",15.87
1/27/23,18.0,"15,853.00",15.85
1/27/23,19.0,"15,798.00",15.8
1/27/23,20.0,"15,759.00",15.76
1/27/23,21.0,"15,772.00",15.77
1/27/23,22.0,"15,772.00",15.77
1/27/23,23.0,"15,772.00",15.77
1/27/23,24.0,"15,769.00",15.77
1/28/23,1.0,"15,756.00",15.76
1/28/23,2.0,"15,785.00",15.79
1/28/23,3.0,"15,740.00",15.74
1/28/23,4.0,"15,737.00",15.74
1/28/23,5.0,"15,746.00",15.75
1/28/23,6.0,"15,720.00",15.72
1/28/23,7.0,"15,740.00",15.74
1/28/23,8.0,"15,730.00",15.73
1/28/23,9.0,"15,737.00",15.74
1/28/23,10.0,"15,769.00",15.77
1/28/23,11.0,"15,834.00",15.83
1/28/23,12.0,"15,925.00",15.93
1/28/23,13.0,"15,947.00",15.95
1/28/23,14.0,"16,006.00",16.01
1/28/23,15.0,"16,019.00",16.02
1/28/23,16.0,"16,009.00",16.01
1/28/23,17.0,"16,057.00",16.06
1/28/23,18.0,"16,070.00",16.07
1/28/23,19.0,"15,934.00",15.93
1/28/23,20.0,"15,831.00",15.83
1/28/23,21.0,"15,801.00",15.8
1/28/23,22.0,"15,792.00",15.79
